,id,Company Name,Company Type,Company industry,Company size,Country,Working days,Overtime Policy,Company overview,Our key skills,Why you'll love working here,Location,Href,Company overview_new,Why you'll love working here_new,Our key skills_new
57,57,Caro,IT Product,E-commerce,1-50 employees,Vietnam,Monday - Friday,No OT,"...
CARO là một Startup công nghệ đang phát triển rất nhanh về quy mô, tập trung xây dựng các Platform công nghệ phục vụ quá trình chuyển đổi số của doanh nghiệp. Với thế mạnh riêng và cách làm khác biệt, chúng tôi đã nhận được sự tin tưởng của nhiều nhà đầu tư chiến lược để xây dựng và phát triển sản phẩm một cách đột phá. 
CARO luôn lấy con người làm trung tâm và khát vọng tiến lên phía trước một cách mạnh mẽ & khác biệt để tạo ra sản phẩm ứng dụng hàng đầu của người Việt. Bạn hãy gia nhập CARO ngay hôm nay để được cùng làm việc và phát triển bản thân với những đồng nghiệp hết sức tài năng, chuyên nghiệp, đam mê và sáng tạo.",Unknown,"Ha Noi
Tầng 7, số 8, Ngõ 21 Lê Văn Lương, Nhân Chính, Thanh Xuân, Hà Nội , Thanh Xuan, Ha Noi","{'Ha Noi': ['Tầng 7, số 8, Ngõ 21 Lê Văn Lương, Nhân Chính, Thanh Xuân, Hà Nội , Thanh Xuan, Ha Noi']}","https://itviec.com/companies/caro
","...
CARO là một Startup công nghệ đang phát triển rất nhanh về quy mô, tập trung xây dựng các Platform công nghệ phục vụ quá trình chuyển đổi số của doanh nghiệp. Với thế mạnh riêng và cách làm khác biệt, chúng tôi đã nhận được sự tin tưởng của nhiều nhà đầu tư chiến lược để xây dựng và phát triển sản phẩm một cách đột phá.
CARO luôn lấy con người làm trung tâm và khát vọng tiến lên phía trước một cách mạnh mẽ & khác biệt để tạo ra sản phẩm ứng dụng hàng đầu của người Việt. Bạn hãy gia nhập CARO ngay hôm nay để được cùng làm việc và phát triển bản thân với những đồng nghiệp hết sức tài năng, chuyên nghiệp, đam mê và sáng tạo.","Ha Noi
Tầng 7, số 8, Ngõ 21 Lê Văn Lương, Nhân Chính, Thanh Xuân, Hà Nội , Thanh Xuan, Ha Noi",Không xác định
58,58,Castalk,IT Product,IT Services and IT Consulting,1-50 employees,Vietnam,Monday - Friday,No OT,"Castalk - startup AI in Việt Nam
Castalk - startup AI in Việt Nam","Android
Java
Kotlin","100% Offered Salary in probation time
Premium PVI Health Insurance Package
Technical seminars and workshops annually
+3

• Working hours: 9:00 - 17:00 (5 days per week); Breaking time: 12:00-13:00
• Salary: Open to Negotiate
• 100% Offered Salary in probation time
• Modern working equipment (Macbook,...)
• Salary Review: 2 times/year based on employee's performance and contribution;
• Well-equipped with insurance package as stated by Labor code
• Premium PVI Health Insurance Package for all members
• Transportation allowance and free parking included.
• Technical seminars and workshops annually.
• Free snack, coffee, tea available.
• Variety of corporate events: weekly tea-break, monthly birthday parties, quarterly team
building to New Year party, company trip etc.
• Friendly, open and fast-paced environment where every idea is welcomed.
• Other benefits as per stated in Vietnamese Labor Law ","{'Ha Noi': ['No1 T4, Phú Mỹ Complex, 4th Floor, Bac Tu Liem, Ha Noi']}","https://itviec.com/companies/castalk
","Castalk - startup AI in Việt Nam
Castalk - startup AI in Việt Nam","Tiền lương được cung cấp 100% trong thời gian quản chế
Gói bảo hiểm y tế PVI cao cấp
Hội thảo kỹ thuật và hội thảo hàng năm
+3

• Giờ làm việc: 9:00 - 17:00 (5 ngày mỗi tuần);Thời gian phá vỡ: 12: 00-13: 00
• Mức lương: Mở để đàm phán
• Tiền lương được cung cấp 100% trong thời gian quản chế
• Thiết bị làm việc hiện đại (MacBook, ...)
• Đánh giá lương: 2 lần/năm dựa trên hiệu suất và đóng góp của nhân viên;
• Được trang bị tốt với gói bảo hiểm theo quy định của Bộ luật Lao động
• Gói bảo hiểm y tế PVI cao cấp cho tất cả các thành viên
• Trợ cấp vận chuyển và đỗ xe miễn phí bao gồm.
• Hội thảo kỹ thuật và hội thảo hàng năm.
• Đồ ăn nhẹ miễn phí, cà phê, trà có sẵn.
• Nhiều sự kiện của công ty: Tea-break hàng tuần, tiệc sinh nhật hàng tháng, nhóm hàng quý
Xây dựng đến bữa tiệc năm mới, chuyến đi công ty, v.v.
• Môi trường thân thiện, cởi mở và có nhịp độ nhanh, nơi mọi ý tưởng đều được hoan nghênh.
• Những lợi ích khác theo quy định trong Luật Lao động Việt Nam","Android
Java
Kotlin"
59,59,CDEX,IT Product,Software Products and Web Services,1-50 employees,Vietnam,Monday - Friday,No OT,"CDEX is a trailblazing company at the forefront of AI Automation, driving innovation and efficiency
 Our mission is to harness the power of artificial intelligence to streamline and enhance business processes, enabling organizations to achieve new levels of productivity and success.
 At CDEX, we specialize in developing cutting-edge AI-driven solutions that automate routine tasks, optimize workflows, and deliver actionable insights. Our team of experts leverages state-of-the-art technology to create bespoke automation tools tailored to the unique needs of each client. Founded on the principles of excellence, innovation, and customer satisfaction, CDEX is committed to delivering top-tier AI solutions that not only meet but exceed our clients' expectations. Our dedication to continuous improvement and staying ahead of industry trends ensures that we remain a trusted partner in the ever-evolving landscape of AI Automation.",Unknown,Unknown,"{'Ho Chi Minh': ['Serepok, 11th Floor, 56 Nguyen Dinh Chieu, District 1, Ho Chi Minh']}","https://itviec.com/companies/cdex
","CDEX là một công ty đường mòn đi đầu trong tự động hóa AI, thúc đẩy đổi mới và hiệu quả
Nhiệm vụ của chúng tôi là khai thác sức mạnh của trí tuệ nhân tạo để hợp lý hóa và tăng cường các quy trình kinh doanh, cho phép các tổ chức đạt được mức năng suất và thành công mới.
Tại CDEX, chúng tôi chuyên phát triển các giải pháp điều khiển AI tiên tiến, tự động hóa các tác vụ thường xuyên, tối ưu hóa quy trình công việc và cung cấp những hiểu biết có thể hành động.Đội ngũ chuyên gia của chúng tôi tận dụng công nghệ tiên tiến để tạo ra các công cụ tự động hóa bespoke phù hợp với nhu cầu độc đáo của mỗi khách hàng.Được thành lập dựa trên các nguyên tắc xuất sắc, đổi mới và sự hài lòng của khách hàng, CDEX cam kết cung cấp các giải pháp AI hàng đầu không chỉ đáp ứng mà còn vượt quá mong đợi của khách hàng.Sự cống hiến của chúng tôi để cải tiến liên tục và vượt lên trước các xu hướng công nghiệp đảm bảo rằng chúng tôi vẫn là một đối tác đáng tin cậy trong bối cảnh tự động hóa AI không ngừng phát triển.",Không xác định,Không xác định
60,60,CESA Vietnam (part of CEVA Logistic),IT Product,"Transportation, Logistics and Warehouse",51-150 employees,France,Monday - Friday,Extra salary for OT,"CESA - part of CEVA Logistic - belong to CMA CGM group
 CMA CGM is a French shipping and logistics company founded in 1978 by Jacques Saadé, and now present in 160 countries through 400 offices, 750 warehouses, 155,000 employees and a wide fleet of 620 vessels, CMA CGM serves 420 of the world’s 521 commercial ports and operates 257 shipping lines.
The CMA CGM Group’s mission is to contribute to sustainable globalization through better-balanced international trade that fosters both economic and social development while respecting the integrity of all men and women and the planet.
 CEVA Logistics, which became a part of the CMA CGM group in 2019, is a world leader in third-party logistics, provides and operates transportation and supply-chain solutions for large or medium-sized national and multinational companies. CEVA Logistics offers a broad range of end-to-end, customized solutions in contract logistics and air, ocean, ground and finished vehicle transport worldwide thanks to its 110,000 employees, operating over 1,300 facilities in more than 170 countries.

CESA Vietnam
Found in 2018, CESA started as a development center in Vietnam, then now became a technology company of CEVA Logistic, specializing in Microsoft .Net technologies (ASP.Net MVC, API, Azure,...), ESB platform (Webmethods, Java...) and delivers projects using Agile methodology.
Working with us, you’ll have the opportunity to develop your skills and career in an exciting workplace in touch with an international and innovative environment.",".NET
VueJS
Azure
MongoDB
SQL
Cloud
VueJS/ Angular
Javascript 
Product 
C# 
Azure Cloud 
SQL 
UX/ UI 
PowerApp 
Manual Testing/ Automation Testing 
DevOps 
Agile","Clear and progressive career path
Building large-scale products
Worldwide environment & work mobility
+3
Being a pioneer in contributing to team development with a long-term vision. 
High-ownership working environment: You will take full responsibility and control of your missions contributing to the team's success in a daily collaboration with Paris teams. 
Continuous skill improvement with new technologies, challenging projects, on-the-job coaching, knowledge exchange with technical experts, and training programs (locally and in Paris). 
Annual performance review: recognize your efforts and identify development/ improvement needs. ","{'Ho Chi Minh': ['Lầu 6, tòa nhà E-town 2, số 364 đường Cộng Hòa, phường 13, Tan Binh, Ho Chi Minh']}","https://itviec.com/companies/cesa-vietnam-part-of-ceva-logistic
","CESA - Một phần của Ceva Logistic - thuộc nhóm CMA CGM
CMA CGM là một công ty vận chuyển và hậu cần của Pháp được thành lập vào năm 1978 bởi Jacques Saadé, và hiện có mặt tại 160 quốc gia thông qua 400 văn phòng, 750 kho, 155.000 nhân viên và một đội tàu rộng 620 tàu, CMA CGM phục vụ 420 trong số các cảng thương mại thế giới.
Nhiệm vụ của Tập đoàn CMA CGM là đóng góp cho toàn cầu hóa bền vững thông qua thương mại quốc tế cân bằng tốt hơn, thúc đẩy cả phát triển kinh tế và xã hội trong khi tôn trọng tính toàn vẹn của tất cả nam và nữ và hành tinh.
CEVA Logistics, đã trở thành một phần của Tập đoàn CMA CGM vào năm 2019, là công ty hàng đầu thế giới về hậu cần của bên thứ ba, cung cấp và vận hành các giải pháp chuỗi giao thông và chuỗi cung ứng cho các công ty quốc gia và đa quốc gia lớn hoặc trung bình.CEVA Logistics cung cấp một loạt các giải pháp tùy chỉnh, từ đầu đến cuối trong hợp đồng hậu cần và vận chuyển không khí, đại dương, mặt đất và hoàn chỉnh trên toàn thế giới nhờ 110.000 nhân viên của mình, điều hành hơn 1.300 cơ sở tại hơn 170 quốc gia.

Cesa Việt Nam
Được tìm thấy vào năm 2018, CESA bắt đầu làm trung tâm phát triển tại Việt Nam, sau đó đã trở thành một công ty công nghệ của Ceva Logistic, chuyên về Microsoft .NET Technologies (ASP.NET MVC, API, Azure, ...), Nền tảng ESB (WebMethods, Java ...) và cung cấp các dự án bằng phương pháp Agile.
Làm việc với chúng tôi, bạn sẽ có cơ hội phát triển các kỹ năng và sự nghiệp của mình trong một nơi làm việc thú vị trong một môi trường quốc tế và sáng tạo.","Con đường sự nghiệp rõ ràng và tiến bộ
Xây dựng các sản phẩm quy mô lớn
Môi trường và di động công việc trên toàn thế giới
+3
Trở thành người tiên phong trong việc đóng góp cho sự phát triển nhóm với tầm nhìn dài hạn.
Môi trường làm việc sở hữu cao: Bạn sẽ chịu trách nhiệm hoàn toàn và kiểm soát các nhiệm vụ của mình góp phần vào thành công của nhóm trong sự hợp tác hàng ngày với các đội Paris.
Cải thiện kỹ năng liên tục với các công nghệ mới, các dự án đầy thách thức, huấn luyện tại chỗ, trao đổi kiến ​​thức với các chuyên gia kỹ thuật và các chương trình đào tạo (tại địa phương và ở Paris).
Đánh giá hiệu suất hàng năm: Nhận ra những nỗ lực của bạn và xác định nhu cầu phát triển/ cải tiến.",".MẠNG LƯỚI
Vuejs
Azure
MongoDB
SQL
Đám mây
Vuejs/ Angular
JavaScript
Sản phẩm
C#
Đám mây Azure
SQL
Ux/ ui
PowerApp
Kiểm tra/ kiểm tra tự động hóa thủ công
DevOps
Nhanh nhẹn"
61,61,Chotot,IT Product,E-commerce,151-300 employees,Singapore,Monday - Friday,No OT,"Vietnam's leading online classified site with the passion to make life more convenient for everyone
Our mission is to help everyone find a way to any of their wants (“Muốn là có”). We are a dynamic family with young and energetic members seeking motivated talents to join our fast-moving and fun-loving crew. 

As Chợ Tốt is part of Carousell Group - the unicorn, unlisted startup of Southeast Asia with its value now exceeding US$1 billion, you will collaborate with other teams across the region e.g. Malaysia, Singapore, Myanmar, Philippines, Hong Kong,... - 8 different countries to tackle some of the most interesting challenges in the online classified area.

You will get various opportunities to sharpen your skills and develop your career path toward a deep technical expert or growth tow. We offer full benefits and competitive salary package, opportunities to attend training and conferences to learn the latest technologies, together with exciting projects to learn, grow and gain new experience every day.

Visit careers.chotot.com for more information of our open positions.","Open source, Cloud native technologies
ReactJS
Golang
NodeJS
iOS
Python
Android
We create product using variety of open source and cloud native technologies, to name some key that we use heavily are: Kubernetes, Kafka, Elastic Search, PostgreSQL, MongoDB, TimescaleDB. We utilize both Amazon AWS and Google Cloud Platform for our infrastructure needs while do run our heavy workloads on our own on-premises infrastructure.","20 days of leave per year
Regional learning opportunities
Premium healthcare
+3
15 days of annual leave and 5 days of sick leave per year
Employees are equipped with Macbook Pros","{'Ho Chi Minh': ['UOA Tower - 6 Tan Trao, Tan Phu, District 7, Ho Chi Minh']}","https://itviec.com/companies/chotot
","Trang web phân loại trực tuyến hàng đầu của Việt Nam với niềm đam mê làm cho cuộc sống thuận tiện hơn cho mọi người
Nhiệm vụ của chúng tôi là giúp mọi người tìm ra cách cho bất kỳ mong muốn nào của họ (Hồi Muốn Là nhập).Chúng tôi là một gia đình năng động với các thành viên trẻ tuổi và tràn đầy năng lượng đang tìm kiếm những tài năng có động lực để tham gia cùng một phi hành đoàn chuyển động nhanh chóng và vui vẻ của chúng tôi.

Vì chợ tốt là một phần của Tập đoàn Carousell - kỳ lân, khởi nghiệp không niêm yết của Đông Nam Á với giá trị của nó hiện vượt quá 1 tỷ USD, bạn sẽ hợp tác với các đội khác trên toàn khu vực, ví dụ:Malaysia, Singapore, Myanmar, Philippines, Hồng Kông, ... - 8 quốc gia khác nhau để giải quyết một số thách thức thú vị nhất trong khu vực phân loại trực tuyến.

Bạn sẽ có được nhiều cơ hội khác nhau để làm sắc nét các kỹ năng của bạn và phát triển con đường sự nghiệp của bạn hướng tới một chuyên gia kỹ thuật sâu sắc hoặc kéo tăng trưởng.Chúng tôi cung cấp đầy đủ lợi ích và gói lương cạnh tranh, cơ hội tham gia đào tạo và hội nghị để tìm hiểu các công nghệ mới nhất, cùng với các dự án thú vị để học hỏi, phát triển và có được trải nghiệm mới mỗi ngày.

Truy cập Careerers.chotot.com để biết thêm thông tin về các vị trí mở của chúng tôi.","20 ngày nghỉ phép mỗi năm
Cơ hội học tập khu vực
Chăm sóc sức khỏe cao cấp
+3
15 ngày nghỉ hàng năm và 5 ngày nghỉ ốm mỗi năm
Nhân viên được trang bị MacBook Pros","Nguồn mở, Công nghệ bản địa đám mây
Reactjs
Golang
Nodejs
iOS
Python
Android
Chúng tôi tạo ra sản phẩm bằng cách sử dụng nhiều công nghệ nguồn gốc và đám mây, để đặt tên cho một số khóa mà chúng tôi sử dụng rất nhiều là: Kubernetes, Kafka, Tìm kiếm đàn hồi, PostgreSQL, MongoDB, TimescaledB.Chúng tôi sử dụng cả nền tảng Amazon AWS và Google Cloud cho các nhu cầu cơ sở hạ tầng của chúng tôi trong khi chạy khối lượng công việc nặng nề của chúng tôi trên cơ sở hạ tầng tại chỗ của chúng tôi."
62,62,CHT Lab,IT Product,Software Products and Web Services,1-50 employees,Vietnam,Monday - Friday,No OT,".
CHTLab is a digital transformation consultancy and blockchain development lab, delivering cutting-edge blockchain and AI solutions since 2018. We are a visionary and reliable engineering partner, providing innovative and cost-effective software development. Our expertise spans the leading technologies and frameworks in the industry, with extensive experience in blockchain and AI application development. Partner with us to transform your business with our advanced technological solutions.",Unknown,Unknown,"{'Ha Noi': ['No 12, Alley 40 Ngụy Như Kon Tum, Thanh Xuan, Ha Noi']}","https://itviec.com/companies/cht-lab
",".
CHTLAB là một công ty tư vấn chuyển đổi kỹ thuật số và phòng thí nghiệm phát triển blockchain, cung cấp các giải pháp blockchain và AI tiên tiến kể từ năm 2018. Chúng tôi là một đối tác kỹ thuật có tầm nhìn và đáng tin cậy, cung cấp phát triển phần mềm sáng tạo và hiệu quả về chi phí.Chuyên môn của chúng tôi mở rộng các công nghệ và khuôn khổ hàng đầu trong ngành, với nhiều kinh nghiệm trong phát triển ứng dụng blockchain và AI.Hợp tác với chúng tôi để chuyển đổi doanh nghiệp của bạn với các giải pháp công nghệ tiên tiến của chúng tôi.",Không xác định,Không xác định
63,63,Cigro Inc.,IT Product,Software Products and Web Services,1-50 employees,South Korea,Monday - Friday,No OT,"Cigro Inc.
Cigro is a B2B SaaS start-up based in Seoul, South Korea and HCM, Vietnam.
We specialize in 3 different businesses :
1. building end-to-end dashboard service for SMBs
2. AI-powered data analytics.
3. Web/app Outsourcing
 E-commerce Dashboard service (cigro.io)
Over 3 years and more than 200 clients, Cigro dashboard works as a stable, potential sales funnel for custom dashboard, unique opportunities of experiencing highly confidential data of E-commerce corporations such as monthly revenues.
 End-to-End Custom Dashboard (BI) (endash.ai)
Highly potential phase, we are securing our first customer segment that don't have alternatives. 
We are hiring to reinforce capacities and expedite on our exploding leads.
 LITMERS : No-code Development Outsourcing (litmers.com/en)
Leading Bubble agency in Vietnam and Korea (ranking top 30s of official Bubble agencies), specializes in transforming business visions into reality using Bubble (bubble.io). Our no-code expertise accelerates development, reducing costs up to fivefold. We are empowering individuals & SMB without development expertise to validate and evolve concepts swiftly.
  Join our team and experience rocket growth.","Python
SQL
English","Compelling rewards, 13th-month salary
Working 5 weekdays and Flexible working time
International Teamwork opportunities
13th-month salary: calculated as one month's actual basic salary if the employee works for 12 months of the calendar year.
Annual Leaves : employee who has been working for 12 months or more is entitled to fully-paid annual leave with 12 days.
Social Insurance, Medical Insurance, Unemployment Insurance: Yes
Convenient shared office in Thao Dien, HCM
Flexibility in commuting time (8:30~9:30 AM)
Flexible working time with notice (ex. Visiting hospital, bank etc)
Latest device support in any type (Mac, monitors etc)","{'Ho Chi Minh': ['Thao Dien, Thu Duc City, Ho Chi Minh']}","https://itviec.com/companies/cigro-inc
","Cigro Inc.
Cigro là một công ty khởi nghiệp B2B SaaS có trụ sở tại Seoul, Hàn Quốc và HCM, Việt Nam.
Chúng tôi chuyên về 3 doanh nghiệp khác nhau:
1. Tòa nhà Dịch vụ bảng điều khiển từ đầu đến cuối cho SMBS
2. Phân tích dữ liệu chạy bằng AI.
3. Gia công phần mềm Web/Ứng dụng
Dịch vụ bảng điều khiển thương mại điện tử (CIGRO.IO)
Hơn 3 năm và hơn 200 khách hàng, CIGRO Dashboard hoạt động như một kênh bán hàng tiềm năng, ổn định cho bảng điều khiển tùy chỉnh, cơ hội duy nhất để trải nghiệm dữ liệu bảo mật cao của các tập đoàn thương mại điện tử như doanh thu hàng tháng.
Bảng điều khiển tùy chỉnh từ đầu đến cuối (BI) (endash.ai)
Giai đoạn tiềm năng cao, chúng tôi đang đảm bảo phân khúc khách hàng đầu tiên không có lựa chọn thay thế.
Chúng tôi đang tuyển dụng để củng cố năng lực và xúc tiến trên các khách hàng tiềm năng bùng nổ của chúng tôi.
Litmers: Gia công phần mềm phát triển không có mã (litmer.com/en)
Cơ quan bong bóng hàng đầu tại Việt Nam và Hàn Quốc (xếp hạng 30 cơ quan bong bóng chính thức), chuyên chuyển đổi tầm nhìn kinh doanh thành thực tế bằng Bubble (Bubble.io).Chuyên môn không có mã của chúng tôi đẩy nhanh sự phát triển, giảm chi phí lên tới năm lần.Chúng tôi đang trao quyền cho các cá nhân & SMB mà không có chuyên môn phát triển để xác nhận và phát triển các khái niệm nhanh chóng.
Tham gia nhóm của chúng tôi và trải nghiệm tăng trưởng tên lửa.","Phần thưởng hấp dẫn, Mức lương tháng 13
Làm việc 5 ngày trong tuần và thời gian làm việc linh hoạt
Cơ hội làm việc nhóm quốc tế
Mức lương tháng 13: Được tính là mức lương cơ bản thực tế một tháng nếu nhân viên làm việc trong 12 tháng của năm dương lịch.
Lá hàng năm: Nhân viên đã làm việc từ 12 tháng trở lên được quyền nghỉ phép hàng năm được trả lương đầy đủ với 12 ngày.
Bảo hiểm xã hội, bảo hiểm y tế, bảo hiểm thất nghiệp: Có
Văn phòng chia sẻ thuận tiện tại Thao Dien, HCM
Tính linh hoạt trong thời gian đi lại (8: 30 ~ 9: 30 sáng)
Thời gian làm việc linh hoạt với thông báo (ví dụ: Bệnh viện đến thăm, Ngân hàng, v.v.)
Hỗ trợ thiết bị mới nhất ở mọi loại (Mac, màn hình, v.v.)","Python
SQL
Tiếng Anh"
64,64,CIRCLACE HT,IT Outsourcing,Software Development Outsourcing,1-50 employees,Japan,Monday - Friday,No OT,"CIRCLACE HT
Đáp ứng nhu cầu toàn cầu ngày càng tăng về Chuyển đổi số (DX), cùng với xu hướng tiết kiệm nhân lực và gia tăng giá trị công nghệ, dòng sản phẩm của Salesforce- nền tảng hàng đầu trong thị trường Sales DX, được đánh giá cao về khả năng thêm ứng dụng theo từng giai đoạn và tích hợp dễ dàng với các sản phẩm từ các công ty khác. Nhờ đó, Salesforce có lịch sử triển khai đáng kể, chiếm thị phần quan trọng trên thị trường toàn cầu.
Bằng cách hợp tác với Circlace, Hybrid Technologies và Growth Link, sự kết hợp đem lại kiến thức phong phú về dòng sản phẩm Salesforce, đồng thời cung cấp đầy đủ đội ngũ chuyên gia, giúp khách hàng doanh nghiệp xây dựng một hệ thống cung cấp dịch vụ vững mạnh.
Tới đây, chúng tôi sẽ làm việc để xây dựng một đội ngũ với hơn 100 chuyên gia Công nghệ thông tin, hướng đến mở rộng trên toàn cầu từ điểm khởi đầu là Việt Nam.",Unknown,Unknown,"{'Ho Chi Minh': ['90 Nguyễn Đình Chiểu, Đa Kao,, District 1, Ho Chi Minh']}","https://itviec.com/companies/circlace-ht
","CIRCLACE HT
Đáp ứng nhu cầu toàn cầu ngày càng tăng về Chuyển đổi số (DX), cùng với xu hướng tiết kiệm nhân lực và gia tăng giá trị công nghệ, dòng sản phẩm của Salesforce- nền tảng hàng đầu trong thị trường Sales DX, được đánh giá cao về khả năng thêm ứng dụng theo từng giai đoạn và tích hợp dễ dàng với các sản phẩm từ các công ty khác. Nhờ đó, Salesforce có lịch sử triển khai đáng kể, chiếm thị phần quan trọng trên thị trường toàn cầu.
Bằng cách hợp tác với Circlace, Hybrid Technologies và Growth Link, sự kết hợp đem lại kiến thức phong phú về dòng sản phẩm Salesforce, đồng thời cung cấp đầy đủ đội ngũ chuyên gia, giúp khách hàng doanh nghiệp xây dựng một hệ thống cung cấp dịch vụ vững mạnh.
Tới đây, chúng tôi sẽ làm việc để xây dựng một đội ngũ với hơn 100 chuyên gia Công nghệ thông tin, hướng đến mở rộng trên toàn cầu từ điểm khởi đầu là Việt Nam.",Không xác định,Không xác định
65,65,"CJ OLIVENETWORKS VINA CO., LTD",IT Outsourcing,Software Products and Web Services,51-150 employees,South Korea,Monday - Friday,Extra salary for OT,"CJ OliveNetworks Vina Co., Ltd
CJ OliveNetworks, a company that creates customer satisfaction and value through lifestyle-based IT services and continuous development of new technology.

Since its foundation in 1995, CJ OliveNetworks has achieved utmost customer satisfaction and value via successful offering of lifestyle based IT services such as manufacturing, distribution, logistics and media, leveraging steady growth of the company with customer trust and support. Based on numerous experiences and capabilities accumulated from building and providing IT systems and services, CJ OliveNetworks answers to needs of the market by leading the development of new technologies which corresponds to latest IT trends including open source, big data, Internet of things(IoT), cloud computing, security, and many others. CJ OliveNetworks promises to grow into a global ICT company through consistent challenges and innovations.","MySQL
Java
Magento
Oracle
.NET
QA QC","Yearly Performance Bonus
Discount for CJ's brands (CGV Cinema, TLJ..)
Technical Training Session
1.   Salary and Benefit
Attractive salary and benefits. Competitive Basic Salary; 13th Salary; Lunch, Gasoline and Telephone allowance; Incentive Bonus and annual salary review.
Premium Healthcare for you, 100% covered by the company. Annual medical checking up to USD 5,000 per year.
Full package: Full government social, health and unemployment insurance.
Extra bonus per personal event such as wedding, family’s funeral, birthday, newborn baby, etc.","{'Ho Chi Minh': ['6 Le Thanh Ton, Ben Nghe Ward, District 1, HCMC, District 1, Ho Chi Minh', 'Floor 2, Rivera Park Saigon, No. 7/28 Thanh Thai, Ward 14, District 10, Ho Chi Minh']}","https://itviec.com/companies/cj-olivenetworks-vina-co-ltd
","CJ Olivenetworks Vina Co., Ltd
CJ Olivenetworks, một công ty tạo ra sự hài lòng và giá trị của khách hàng thông qua các dịch vụ CNTT dựa trên lối sống và phát triển liên tục của công nghệ mới.

Kể từ nền tảng vào năm 1995, CJ Olivenetworks đã đạt được sự hài lòng và giá trị tối đa của khách hàng thông qua việc cung cấp thành công các dịch vụ CNTT dựa trên lối sống như sản xuất, phân phối, hậu cần và truyền thông, tận dụng sự tăng trưởng ổn định của công ty với sự tin tưởng và hỗ trợ của khách hàng.Dựa trên nhiều kinh nghiệm và khả năng được tích lũy từ việc xây dựng và cung cấp các hệ thống và dịch vụ CNTT, CJ Olivenetworks trả lời cho nhu cầu của thị trường bằng cách dẫn đầu việc phát triển các công nghệ mới tương ứng với các xu hướng CNTT mới nhất bao gồm nguồn mở, dữ liệu lớn, Internet of Things (IoT), điện toán đám mây, bảo mật và nhiều xu hướng khác.CJ Olivenetworks hứa hẹn sẽ phát triển thành một công ty CNTT toàn cầu thông qua những thách thức và đổi mới nhất quán.","Tiền thưởng hiệu suất hàng năm
Giảm giá cho các thương hiệu của CJ (CGV Cinema, TLJ ..)
Phiên đào tạo kỹ thuật
1. Mức lương và lợi ích
Mức lương và lợi ích hấp dẫn.Mức lương cơ bản cạnh tranh;Mức lương thứ 13;Ăn trưa, xăng và phụ cấp điện thoại;Tiền thưởng ưu đãi và đánh giá tiền lương hàng năm.
Chăm sóc sức khỏe cao cấp cho bạn, được công ty bảo hiểm 100%.Kiểm tra y tế hàng năm lên tới 5.000 USD mỗi năm.
Gói đầy đủ: Bảo hiểm xã hội, y tế và thất nghiệp chính phủ đầy đủ.
Phần thưởng bổ sung cho mỗi sự kiện cá nhân như đám cưới, đám tang gia đình, sinh nhật, em bé sơ sinh, v.v.","Mysql
Java
Magento
Oracle
.MẠNG LƯỚI
QA QC"
66,66,C-Labs Technology,IT Outsourcing,Software Development Outsourcing,1-50 employees,Vietnam,Monday - Friday,No OT,".
.",Unknown,Unknown,"{'Ha Noi': ['Tầng 2, Tòa nhà Hoàng Ngân Plaza, số 125 Hoàng Ngân, Phường Trung Hoà, Cau Giay, Ha Noi']}","https://itviec.com/companies/c-labs-technology
",".
.",Không xác định,Không xác định
67,67,CloudAZ,IT Product,"AI, Blockchain and Deep Tech Services",1-50 employees,Vietnam,Monday - Friday,No OT,"Là Premier Partner của Google Cloud
Sứ mệnh của chúng tôi là hỗ trợ khách hàng doanh nghiệp chuyển dịch thành công bằng dịch vụ chuyên nghiệp và đội ngũ chuyên gia do Google cấp chứng chỉ.",Unknown,Unknown,"{'Ha Noi': ['Số 03, ngõ 04 Phố Nghĩa Đô, Phường Nghĩa Tân, Cau Giay, Ha Noi']}","https://itviec.com/companies/cloudaz
","Là Premier Partner của Google Cloud
Sứ mệnh của chúng tôi là hỗ trợ khách hàng doanh nghiệp chuyển dịch thành công bằng dịch vụ chuyên nghiệp và đội ngũ chuyên gia do Google cấp chứng chỉ.",Không xác định,Không xác định
